,mean_test_score,params
38,0.7037180106228875,"{'vect__binary': False, 'vect__min_df': 2, 'vect__ngram_range': (1, 2), 'vect__stop_words': None}"
39,0.6974601641718976,"{'vect__binary': False, 'vect__min_df': 2, 'vect__ngram_range': (1, 2), 'vect__stop_words': 'english'}"
40,0.6998358281023661,"{'vect__binary': False, 'vect__min_df': 2, 'vect__ngram_range': (1, 3), 'vect__stop_words': None}"
41,0.69487204249155,"{'vect__binary': False, 'vect__min_df': 2, 'vect__ngram_range': (1, 3), 'vect__stop_words': 'english'}"
42,0.6635248672139064,"{'vect__binary': False, 'vect__min_df': 2, 'vect__ngram_range': (2, 2), 'vect__stop_words': None}"
43,0.6288556253017866,"{'vect__binary': False, 'vect__min_df': 2, 'vect__ngram_range': (2, 2), 'vect__stop_words': 'english'}"
44,0.6594302269435055,"{'vect__binary': False, 'vect__min_df': 2, 'vect__ngram_range': (2, 3), 'vect__stop_words': None}"
45,0.6268855625301787,"{'vect__binary': False, 'vect__min_df': 2, 'vect__ngram_range': (2, 3), 'vect__stop_words': 'english'}"
46,0.5968517624336069,"{'vect__binary': False, 'vect__min_df': 2, 'vect__ngram_range': (3, 3), 'vect__stop_words': None}"
47,0.5460164171897633,"{'vect__binary': False, 'vect__min_df': 2, 'vect__ngram_range': (3, 3), 'vect__stop_words': 'english'}"
